link_id,Node1           ,Node2           
 PIPE_19822      ,A476            ,A477            
 PIPE_21045      ,A406            ,A1133           
 PIPE_20059      ,A478            ,A333            
 PIPE_25586      ,A479            ,AD11252-01-01   
 PIPE_17755      ,A481            ,A482            
 PIPE_23550      ,A331            ,A483            
 PIPE_22359      ,A484            ,A485            
 PIPE_18057      ,A2860           ,A2413           
 PIPE_28631      ,A488            ,A489            
 PIPE_23684      ,A152            ,A490            
 PIPE_25319      ,A491            ,A492            
 PIPE_18846      ,A493            ,A494            
 PIPE_31335      ,A495            ,A496            
 PIPE_26937      ,A497            ,AD11217-02-01   
 PIPE_31100      ,A498            ,A499            
 PIPE_27353      ,AD11217-01-01   ,A501            
 PIPE_25553      ,AD11326-01-01   ,A572            
 PIPE_20681      ,A2200           ,AD10056-02-01   
 PIPE_19800      ,A506            ,AD10024-01-01   
 PIPE_17588      ,A507            ,A508            
 PIPE_27025      ,A289            ,A509            
 PIPE_24258      ,A1874           ,AD10128-01-01   
 PIPE_17760      ,A511            ,AD10862         
 PIPE_19958      ,A61             ,A513            
 PIPE_24482      ,A514            ,A1258           
 PIPE_21376      ,A1255           ,AD10217-01-01   
 PIPE_24021      ,A516            ,A517            
 PIPE_20109      ,A1783           ,A518            
 PIPE_23981      ,A519            ,A520            
 PIPE_24939      ,A521            ,A522            
 PIPE_23275      ,A1884           ,AD10331         
 PIPE_23883      ,A524            ,A525            
 PIPE_22258      ,A526            ,A527            
 PIPE_19344      ,A528            ,AD11115-06-01   
 PIPE_20150      ,A529            ,A1894           
 PIPE_29428      ,A530            ,A529            
 PIPE_30118      ,A743            ,A728            
 PIPE_30944      ,A913            ,A542            
 PIPE_21529      ,A543            ,A77             
 PIPE_28779      ,A489            ,A912            
 PIPE_31450      ,A1904           ,A545            
 PIPE_24056      ,A2429           ,A546            
 PIPE_24231      ,A547            ,A548            
 PIPE_24210      ,A549            ,A550            
 PIPE_20073      ,A550            ,A3600           
 PIPE_27472      ,A552            ,AD10298-01-01   
 PIPE_27478      ,A552            ,A553            
 PIPE_25145      ,A556            ,A1078           
 PIPE_19709      ,A587            ,AD10272-01-01   
 PIPE_17799      ,A557            ,A558            
 PIPE_22783      ,A1206           ,AD10057-02-01   
 PIPE_24070      ,A560            ,AD10085-05-01   
 PIPE_21258      ,A2238           ,AD10068-01-01   
 PIPE_23895      ,A568            ,AD10125-01-01   
 PIPE_21807      ,A562            ,A563            
 PIPE_18305      ,A1914           ,A564            
 PIPE_25787      ,A565            ,AD10056-05-01   
 PIPE_24169      ,A1294           ,AD10060-01-01   
 PIPE_19737      ,A567            ,A568            
 PIPE_20008      ,A569            ,A570            
 PIPE_25496      ,A571            ,A572            
 PIPE_18925      ,A573            ,A1444           
 PIPE_23261      ,A2206           ,AD10056-06-01   
 PIPE_29666      ,A575            ,A1099           
 PIPE_27115      ,A1580           ,AD10230-01-01   
 PIPE_27247      ,A931            ,AD10076-01-01   
 PIPE_19931      ,A1096           ,A577            
 PIPE_31953      ,A579            ,A578            
 PIPE_18657      ,A580            ,A581            
 PIPE_21249      ,A582            ,A583            
 PIPE_25854      ,A2505           ,AD10082-04-01   
 PIPE_19430      ,A585            ,A586            
 PIPE_18299      ,A588            ,AD10092-04-01   
 PIPE_27225      ,A2475           ,A589            
 PIPE_22865      ,A1928           ,AD10068-04-01   
 PIPE_17940      ,A591            ,A1934           
 PIPE_24703      ,A1308           ,A10102-03-01    
 PIPE_20285      ,A1938           ,AD10108-05-01   
 PIPE_20894      ,A595            ,AD10108-01-01   
 PIPE_22241      ,A596            ,A597            
 PIPE_23069      ,A598            ,AD10103-02-01   
 PIPE_19923      ,A599            ,A600            
 PIPE_22149      ,A601            ,A2481           
 PIPE_21211      ,A602            ,AD10345-01-01   
 PIPE_20926      ,A604            ,A602            
 PIPE_20033      ,A605            ,A606            
 PIPE_22968      ,A607            ,A608            
 PIPE_19639      ,A609            ,A610            
 PIPE_19986      ,A1041           ,AD10116-02-01   
 PIPE_20192      ,A613            ,A614            
 PIPE_22601      ,A1039           ,AD10016-01-01   
 PIPE_21842      ,A1037           ,AD10050-02-01   
 PIPE_22280      ,A2268           ,AD10344-01-01   
 PIPE_29690      ,A1535           ,A617            
 PIPE_28927      ,A618            ,A619            
 PIPE_21110      ,A2493           ,A620            
 PIPE_20835      ,A621            ,A622            
 PIPE_19508      ,A623            ,AD10062-01-01   
 PIPE_17903      ,A624            ,A625            
 PIPE_24574      ,A624            ,A626            
 PIPE_28407      ,AD11519-01-01   ,A1962           
 PIPE_20646      ,A628            ,A629            
 PIPE_20680      ,A629            ,A630            
 PIPE_19704      ,A1404           ,AD10032         
 PIPE_27197      ,A632            ,A633            
 PIPE_21982      ,A634            ,A635            
 PIPE_21906      ,A636            ,A632            
 PIPE_20896      ,A637            ,A638            
 PIPE_15386      ,A2699           ,A639            
 PIPE_19705      ,A640            ,A67             
 PIPE_17674      ,A641            ,A1340           
 PIPE_24998      ,A642            ,A643            
 PIPE_21722      ,A644            ,A1235           
 PIPE_24267      ,A645            ,A646            
 PIPE_32236      ,A647            ,A2909           
 PIPE_24829      ,A648            ,A649            
 PIPE_18370      ,A650            ,AD10375-01-01   
 PIPE_25401      ,A651            ,AD10082-03-01   
 PIPE_19145      ,A652            ,A653            
 PIPE_28267      ,A654            ,A655            
 PIPE_29749      ,A655            ,A2082           
 PIPE_18745      ,A656            ,A657            
 PIPE_18595      ,A1978           ,AD11219-01-01   
 PIPE_23254      ,A659            ,A660            
 PIPE_29515      ,A661            ,A2654           
 PIPE_27023      ,A662            ,AD11219-02-01   
 PIPE_22813      ,A666            ,A659            
 PIPE_29012      ,A1349           ,AD11675-01-01   
 PIPE_20771      ,A664            ,A665            
 PIPE_19556      ,A666            ,A667            
 PIPE_22281      ,A659            ,AD10150-02-01   
 PIPE_22204      ,A668            ,A669            
 PIPE_31288      ,A670            ,A671            
 PIPE_24304      ,A672            ,A673            
 PIPE_18314      ,A674            ,A675            
 PIPE_21392      ,A676            ,A1129           
 PIPE_25162      ,A677            ,A678            
 PIPE_25070      ,A3265           ,AD10450         
 PIPE_27020      ,AD11229-01-01   ,A2508           
 PIPE_18783      ,A682            ,A2509           
 PIPE_19042      ,A1357           ,AD10148-02-01   
 PIPE_18845      ,A292            ,A2282           
 PIPE_22799      ,A294            ,A684            
 PIPE_30814      ,A685            ,A686            
 PIPE_24756      ,A1393           ,AD10364-01-01   
 PIPE_26307      ,A688            ,A689            
 PIPE_21880      ,A690            ,A2037           
 PIPE_29187      ,A1370           ,A3531           
 PIPE_22022      ,A691            ,A2520           
 PIPE_29982      ,A2842           ,A693            
 PIPE_20044      ,A3435           ,A699            
 PIPE_29678      ,A699            ,A549            
 PIPE_20420      ,A700            ,A701            
